County,Median Household Income
Siskiyou,37865.0
Inyo,49571.0
Trinity,37672.0
Mono,60469.0
Lassen,52484.0
Glenn,43239.0
Lake,39525.0
Calaveras,55256.0
Del Norte,37588.0
Tehama,38753.0
Tuolumne,47359.0
Mendocino,44527.0
Yuba,46617.0
Imperial,39402.0
Humboldt,40376.0
San Benito,65570.0
Madera,47724.0
Shasta,44058.0
Amador,56180.0
Tulare,43550.0
Kings,48838.0
Butte,42971.0
Kern,48021.0
San Bernardino,55853.0
Nevada,58077.0
Merced,43945.0
Santa Barbara,61896.0
Fresno,46903.0
Sutter,50010.0
San Luis Obispo,58630.0
El Dorado,68815.0
Monterey,59737.0
Yolo,57920.0
Napa,68641.0
Riverside,58365.0
Stanislaus,50671.0
San Joaquin,53764.0
Sonoma,64343.0
Placer,74645.0
Ventura,76728.0
Solano,69914.0
Santa Cruz,66030.0
Marin,89605.0
San Diego,63857.0
Sacramento,56553.0
Contra Costa,79135.0
Santa Clara,89064.0
San Mateo,87633.0
Alameda,70821.0
Los Angeles,56266.0
Orange,75762.0
San Francisco,72947.0
Modoc,56810.0
Colusa,56810.0
Plumas,56810.0
Sierra,56810.0
Alpine,56810.0
Mariposa,56810.0
